Unnamed: 0,index,User,Video Title,PreLabel,Comment (Actual),Comment Author Counts,Comment Seg,Polarity,Comment Length,Worth Word Ratio,PCA1,PCA2,PCA3
302879,302879,Physics Girl,Why this trick should be IMPOSSIBLE ft. Rodney Mullen - Skateboarding Science,1,Now I know who not to play a game of skate with,1,know play game skate,0.816,12,0.25,0.74098169,-0.26148267,-0.08360202
221122,221122,Physics Girl,I WAS THERE! How David Blaine flew helium balloons to the height of jets (and jumped),1,Shame his stunt didn't incorporate 99 red balloons...,4,shame stunt didnt incorpor 99 red balloon,0.693,10,0.3,0.47362543,0.793268,0.09653928
242496,242496,Physics Girl,Why This Stuff Costs $2700 Trillion Per Gram - Antimatter at CERN,1,What they do in CERN is dangerous. They are working on trying to connect to other portals by sending particles in the air. Just so you know God created physics not man,1,cern danger work tri connect portal send particl air know god creat physic man,0.795,32,0.344,-0.99804842,0.03960721,0.08662748
267240,267240,Physics Girl,Why are there giant concrete tunnels in the desert?,1,"Wow you actually get paid for this to mess the world up while people are hungry world wide !!
Come Jesus Christ come xx",1,wow actual get paid mess world peopl hungri world wide come jesu christ come xx,0.762,23,0.522,-0.91237051,0.06463055,-0.01159478
188340,188340,Physics Girl,How Mirrors Could Solve our Energy Problem,1,These stations literally cause birds to burst in flames in the air look it up there called tracers bird tracers,3,station liter caus bird burst flame air look call tracer bird tracer,1,20,0.45,-0.98170958,-0.29482306,0.03286874
59118,59118,neo,How the CIA Found Osama bin Laden,1,Is his name Found Osama bin Laden? Or why is F in Found capitalized?,1,name found osama bin laden f found capit,1,14,0.5,-0.04355626,0.44940467,0.36319624
15474,15474,Cleo Abram,Space doesn't look like that,1,"the colors really ugly, not my type",7,color realli ugli type,0.625,8,0.375,0.08164333,-0.21913672,-0.47198413
10328,10328,Cleo Abram,The World Cup's new high tech balls,1,makes the sport less interesting - but you are an american you wouldnt get it,1,make sport less interest american wouldnt get,0.884,15,0.333,-0.15147061,0.42544891,0.12502994
154408,154408,Physics Girl,99 Years Later... We Solved It,1,Saw this in a SpongeBob episode.,1,saw spongebob episod,1,6,0.833,1.99502518,2.18796856,0.2940246
43915,43915,Jet Lag: The Game,We Played a 72 Hour Game of Tag Across Europe,1,"when he asked who Daniel Ricciardo was my heart died a little inside, I hear you f1 fan",1,ask daniel ricciardo heart die littl insid hear f1 fan,0.704,19,0.368,-0.89164959,0.11405917,-0.11972838
26837,26837,Cleo Abram,"Fracking for Clean Energy (wait, what?)",0,Can't wait for more. Great video ❤️,1,cant wait great video,0.577,8,0.5,2.16936326,1.18036939,-0.0782917
230352,230352,Physics Girl,Ballistic Ping Pong Ball vs. Tennis Ball at 450km/h!,1,Atoms per fiat should become the new si measurement for vacuum ability,2,atom per fiat becom new si measur vacuum abil,0.827,12,0.667,-0.82418533,-0.81537597,-0.25982314
153765,153765,Physics Girl,It missed us by 9 days,0,Is it wrong that I want to see one of these events?,1,wrong want see one event,0.672,12,0.25,0.59187283,-0.45729898,-0.33219374
